Name
Robert De Niro
Jack Nicholson
Marlon Brando
Denzel Washington
Meryl Streep
Daniel Day-Lewis
Tom Hanks
Leonardo DiCaprio
Cate Blanchett
Kate Winslet
Viola Davis
Halle Berry
Julia Roberts
Jodie Foster
Morgan Freeman
Helen Mirren
Johnny Depp
Julie Andrews
Al Pacino
Will Smith
Harrison Ford
Forest Whitaker
Dustin Hoffman
Tom Cruise
Samuel L. Jackson
Robin Williams
Don Cheadle
Antonio Banderas
Eddie Murphy
Anthony Hopkins
Heath Ledger
Diane Keaton
Susan Sarandon
Glenn Close
Julianne Moore
Regina King
Angelina Jolie
Jane Fonda
Natalie Portman
Sandra Bullock
Emma Thompson
Michelle Pfeiffer
Penélope Cruz
Nicole Kidman
Salma Hayek
Sigourney Weaver
Kathy Bates
Lucy Liu
Amy Adams
Jeff Bridges
Ben Kingsley
Tommy Lee Jones
Robert Redford
Joaquin Phoenix
Christopher Walken
Philip Seymour Hoffman
George Clooney
Bruce Willis
Sean Connery
Ian McKellen
Russell Crowe
Bill Murray
Nicolas Cage
Joe Pesci
Brad Pitt
Kevin Costner
Michael Douglas
Robert Downey Jr.
Sally Field
Hilary Swank
Diane Lane
Jessica Lange
Bette Midler
Judi Dench
Sharon Stone
Kim Basinger
Demi Moore
Anne Hathaway
Geena Davis
Mel Gibson
Jim Carrey
Mark Wahlberg
Steve Martin
Javier Bardem
Arnold Schwarzenegger
Sylvester Stallone
Viggo Mortensen
Geoffrey Rush
Alec Guinness
Richard Burton
Alec Baldwin
Mads Mikkelsen
Ben Stiller
Willem Dafoe
Ed Harris
Drew Barrymore
Winona Ryder
Uma Thurman
Rene Russo
Whoopi Goldberg
Maggie Smith
Jennifer Lawrence
Goldie Hawn
Gwyneth Paltrow
Charlize Theron
Marion Cotillard
Reese Witherspoon
Benicio Del Toro
Kevin Bacon
Patrick Swayze
Michael Caine
Robert Duvall
Colin Farrell
Jared Leto
Bradley Cooper
Gary Oldman
Jude Law
Liam Neeson
Matt Damon
Michael Fassbender
Helen Hunt
Kate Hudson
Catherine Zeta-Jones
Cameron Diaz
Gillian Anderson
Emma Watson
Meg Ryan
Kurt Russell
Jake Gyllenhaal
Ryan Gosling
Colin Firth
Jamie Foxx
Tom Hardy
Benedict Cumberbatch
Chloë Grace Moretz
Anna Kendrick
Emily Watson
Helena Bonham Carter
Keira Knightley
Scarlett Johansson
Dakota Fanning
Jennifer Aniston
Jennifer Connelly
Rachel McAdams
Carey Mulligan
Mila Kunis
Amanda Seyfried
Jennifer Lopez
Jessica Alba
Kristen Stewart
Rooney Mara
Jamie Lee Curtis
Emma Stone
Kirsten Dunst
Jeff Goldblum
Chris Hemsworth
Kevin Kline
Kate Beckinsale
Zooey Deschanel
Michelle Williams
Milla Jovovich
Selena Gomez
Rachel Weisz
Kristen Bell
Katherine Heigl
Liv Tyler
Jessica Chastain
Megan Fox
Betty White
Robin Wright
Christian Bale
Ethan Hawke
Sean Penn
Chris Pratt
Elliot Page
Vera Farmiga
Lupita Nyong'o
Octavia Spencer
Tilda Swinton
Jennifer Hudson
Renée Zellweger
Marisa Tomei
Hugh Grant
Keanu Reeves
Channing Tatum
Hugh Jackman
Dwayne Johnson
Adam Sandler
Daniel Radcliffe
Daniel Craig
Henry Cavill
Vin Diesel
Ben Affleck
Chris Pine
Maggie Gyllenhaal
Katie Holmes
Andrew Garfield
Jeremy Renner
Steve Carell
Chris Evans
James Franco
Zach Galifianakis
Will Ferrell
